Thread_No,Thread_Name,R,G,B
13764,FLAT PURPLE,206,204,199
16220,PURPLE SHADOW,179,177,170
13774,MOONLIGHT PURPLE,163,162,151
16221,NEW SYRAH,129,131,121
15406,MISTY BLUE,252,248,189
13713,CHAMBRAY BLUE,218,222,213
13721,ICICLE BLUE,251,161,118
13732,ALPINE BLUE,253,253,249
13735,ORCHID BLUE,214,216,208
15583,VIVID LILAC,175,177,169
13743,LILAC MOON,170,171,164
16219,FRENCH PRUPLE,130,131,124
17749,STAR SAPPHIRE,254,253,253
14539,VENETIAN PURPLE,253,246,192
13778,VICTORY PURPLE,245,241,204
16475,GLORY VIOLET,244,241,198
13786,PRUNE PURPLE,247,244,198
16479,MIDNIGHT OCEAN,246,243,201
16507,SMOKY PURPLE,247,247,203
16452,DEW BLUE,251,249,188
16453,CRYSTAL BLUE,248,246,193
16454,STREAM BLUE,243,240,181
19305,WASHED DENIM,247,245,191
16456,SIROCCO BLUE,243,241,181
16457,SLEEPY BLUE,249,247,199
16460,ATLANTIC BLUE,251,248,194
16459,TUSSIAN BLUE,248,245,197
15580,MONARCH PURPLE,249,247,199
17685,ICY PURPLE,245,242,195
17764,VISTA MAUVE,248,247,201
